original_url,redirected_url,is_redirected,page_size
https://en.wikipedia.org/wiki/Tonne_of_oil_equivalent,https://en.wikipedia.org/wiki/Tonne_of_oil_equivalent,False,6622
https://en.wikipedia.org/wiki/Oil_sands,https://en.wikipedia.org/wiki/Oil_sands,False,148377
https://en.wikipedia.org/wiki/Habitat_destruction,https://en.wikipedia.org/wiki/Habitat_destruction,False,66055
https://en.wikipedia.org/wiki/Shale_gas,https://en.wikipedia.org/wiki/Shale_gas,False,80168
https://en.wikipedia.org/wiki/Coral_bleaching,https://en.wikipedia.org/wiki/Coral_bleaching,False,148092
https://en.wikipedia.org/wiki/Arable_land,https://en.wikipedia.org/wiki/Arable_land,False,19185
https://en.wikipedia.org/wiki/Ocean_acidification,https://en.wikipedia.org/wiki/Ocean_acidification,False,148361
https://en.wikipedia.org/wiki/Petroleum_industry,https://en.wikipedia.org/wiki/Petroleum_industry,False,49333
https://en.wikipedia.org/wiki/Fracking,https://en.wikipedia.org/wiki/Fracking,False,162829
https://en.wikipedia.org/wiki/Wildfire,https://en.wikipedia.org/wiki/Wildfire,False,207007
https://en.wikipedia.org/wiki/Claudia_Sheinbaum,https://en.wikipedia.org/wiki/Claudia_Sheinbaum,False,165018
https://en.wikipedia.org/wiki/Category:Climatologists,https://en.wikipedia.org/wiki/Category:Climatologists,False,221
https://en.wikipedia.org/wiki/Sustainable_development,https://en.wikipedia.org/wiki/Sustainable_development,False,52630
https://en.wikipedia.org/wiki/Heat_pump,https://en.wikipedia.org/wiki/Heat_pump,False,75600
https://en.wikipedia.org/wiki/Farmer,https://en.wikipedia.org/wiki/Farmer,False,16047
https://en.wikipedia.org/wiki/John_Tyndall,https://en.wikipedia.org/wiki/John_Tyndall,False,95948
https://en.wikipedia.org/wiki/Electricity_generation,https://en.wikipedia.org/wiki/Electricity_generation,False,40114
https://en.wikipedia.org/wiki/Heavy_industry,https://en.wikipedia.org/wiki/Heavy_industry,False,15816
https://en.wikipedia.org/wiki/Thermal_insulation,https://en.wikipedia.org/wiki/Thermal_insulation,False,17731
https://en.wikipedia.org/wiki/Climate_engineering,https://en.wikipedia.org/wiki/Geoengineering,True,9505
https://en.wikipedia.org/wiki/European_emission_standards,https://en.wikipedia.org/wiki/European_emission_standards,False,88110
https://en.wikipedia.org/wiki/Induction_heating,https://en.wikipedia.org/wiki/Induction_heating,False,16371
https://en.wikipedia.org/wiki/Paul_J._Crutzen,https://en.wikipedia.org/wiki/Paul_J._Crutzen,False,30673
https://en.wikipedia.org/wiki/Ethylene,https://en.wikipedia.org/wiki/Ethylene,False,33043
https://en.wikipedia.org/wiki/Earth_Hour,https://en.wikipedia.org/wiki/Earth_Hour,False,65869
https://en.wikipedia.org/wiki/Diatom,https://en.wikipedia.org/wiki/Diatom,False,161737
https://en.wikipedia.org/wiki/Sylvia_Earle,https://en.wikipedia.org/wiki/Sylvia_Earle,False,47839
https://en.wikipedia.org/wiki/No-till_farming,https://en.wikipedia.org/wiki/No-till_farming,False,43620
https://en.wikipedia.org/wiki/Infection,https://en.wikipedia.org/wiki/Infection,False,120692
https://en.wikipedia.org/wiki/Greenhouse_gas,https://en.wikipedia.org/wiki/Greenhouse_gas,False,79742
https://en.wikipedia.org/wiki/Carbon_cycle,https://en.wikipedia.org/wiki/Carbon_cycle,False,104549
https://en.wikipedia.org/wiki/Dairy,https://en.wikipedia.org/wiki/Dairy,False,60495
https://en.wikipedia.org/wiki/Earth%27s_energy_budget,https://en.wikipedia.org/wiki/Earth%27s_energy_budget,False,60816
https://en.wikipedia.org/wiki/Engineered_wood,https://en.wikipedia.org/wiki/Engineered_wood,False,62645
https://en.wikipedia.org/wiki/Hydropower,https://en.wikipedia.org/wiki/Hydropower,False,59587
https://en.wikipedia.org/wiki/Wetland,https://en.wikipedia.org/wiki/Wetland,False,104436
https://en.wikipedia.org/wiki/Biogas,https://en.wikipedia.org/wiki/Biogas,False,88410
https://en.wikipedia.org/wiki/Saudi_Aramco,https://en.wikipedia.org/wiki/Saudi_Aramco,False,99699
https://en.wikipedia.org/wiki/John_Clauser,https://en.wikipedia.org/wiki/John_Clauser,False,11444
https://en.wikipedia.org/wiki/Fire_ecology,https://en.wikipedia.org/wiki/Fire_ecology,False,68617
https://en.wikipedia.org/wiki/Climate_fiction,https://en.wikipedia.org/wiki/Climate_fiction,False,54158
https://en.wikipedia.org/wiki/Desertification,https://en.wikipedia.org/wiki/Desertification,False,69207
